0,1,2,3,4,5,6,7
List of presidents of the United States,"April 30, 1789–March 4, 1797",,George Washington,,Unaffiliated,1788–89,John Adams
List of presidents of the United States,"April 30, 1789–March 4, 1797",,George Washington,,Unaffiliated,1792,John Adams
List of presidents of the United States,"March 4, 1797–March 4, 1801",,John Adams,,Federalist,1796,Thomas Jefferson
List of presidents of the United States,"March 4, 1801–March 4, 1809",,Thomas Jefferson,,Democratic-Republican,1800,Aaron Burr
List of presidents of the United States,"March 4, 1801–March 4, 1809",,Thomas Jefferson,,Democratic-Republican,1804,George Clinton
List of presidents of the United States,"March 4, 1809–March 4, 1817",,James Madison,,Democratic-Republican,1808,George Clinton
List of presidents of the United States,"March 4, 1809–March 4, 1817",,James Madison,,Democratic-Republican,1808,"Vacant afterApr. 20, 1812"
List of presidents of the United States,"March 4, 1809–March 4, 1817",,James Madison,,Democratic-Republican,1812,Elbridge Gerry
List of presidents of the United States,"March 4, 1809–March 4, 1817",,James Madison,,Democratic-Republican,1812,"Vacant afterNov. 23, 1814"
List of presidents of the United States,"March 4, 1817–March 4, 1825",,James Monroe,,Democratic-Republican,1816,Daniel D. Tompkins
List of presidents of the United States,"March 4, 1817–March 4, 1825",,James Monroe,,Democratic-Republican,1820,Daniel D. Tompkins
List of presidents of the United States,"March 4, 1829–March 4, 1837",,Andrew Jackson,,Democratic,1828,John C. Calhoun
List of presidents of the United States,"March 4, 1829–March 4, 1837",,Andrew Jackson,,Democratic,1828,"Vacant afterDec. 28, 1832"
List of presidents of the United States,"March 4, 1829–March 4, 1837",,Andrew Jackson,,Democratic,1832,Martin Van Buren
List of presidents of the United States,"March 4, 1837–March 4, 1841",,Martin Van Buren,,Democratic,1836,Richard Mentor Johnson
List of presidents of the United States,"March 4, 1841–April 4, 1841",,William Henry Harrison,,Whig,1840,John Tyler
List of presidents of the United States,"April 4, 1841–March 4, 1845",,John Tyler,,Whig,1840,Vacant throughoutpresidency
List of presidents of the United States,"April 4, 1841–March 4, 1845",,John Tyler,,Unaffiliated,1840,Vacant throughoutpresidency
List of presidents of the United States,"March 4, 1849–July 9, 1850",,Zachary Taylor,,Whig,1848,Millard Fillmore
List of presidents of the United States,"July 9, 1850–March 4, 1853",,Millard Fillmore,,Whig,1848,Vacant throughoutpresidency
List of presidents of the United States,"March 4, 1853–March 4, 1857",,Franklin Pierce,,Democratic,1852,"Vacant afterApr. 18, 1853"
List of presidents of the United States,"March 4, 1857–March 4, 1861",,James Buchanan,,Democratic,1856,John C. Breckinridge
List of presidents of the United States,"March 4, 1861–April 15, 1865",,Abraham Lincoln,,National Union,1864,Andrew Johnson
List of presidents of the United States,"April 15, 1865–March 4, 1869",,Andrew Johnson,,National Union,1864,Vacant throughoutpresidency
List of presidents of the United States,"April 15, 1865–March 4, 1869",,Andrew Johnson,,Democratic,1864,Vacant throughoutpresidency
List of presidents of the United States,"March 4, 1869–March 4, 1877",,Ulysses S. Grant,,Republican,1868,Schuyler Colfax
List of presidents of the United States,"March 4, 1869–March 4, 1877",,Ulysses S. Grant,,Republican,1872,Henry Wilson
List of presidents of the United States,"March 4, 1869–March 4, 1877",,Ulysses S. Grant,,Republican,1872,"Vacant afterNov. 22, 1875"
List of presidents of the United States,"March 4, 1877–March 4, 1881",,Rutherford B. Hayes,,Republican,1876,William A. Wheeler
List of presidents of the United States,"March 4, 1881–September 19, 1881",,James A. Garfield,,Republican,1880,Chester A. Arthur
List of presidents of the United States,"September 19, 1881–March 4, 1885",,Chester A. Arthur,,Republican,1880,Vacant throughoutpresidency
List of presidents of the United States,"March 4, 1885–March 4, 1889",,Grover Cleveland,,Democratic,1884,Thomas A. Hendricks
List of presidents of the United States,"March 4, 1885–March 4, 1889",,Grover Cleveland,,Democratic,1884,"Vacant afterNov. 25, 1885"
List of presidents of the United States,"March 4, 1889–March 4, 1893",,Benjamin Harrison,,Republican,1888,Levi P. Morton
List of presidents of the United States,"March 4, 1893–March 4, 1897",,Grover Cleveland,,Democratic,1892,Adlai Stevenson I
List of presidents of the United States,"March 4, 1897–September 14, 1901",,William McKinley,,Republican,1896,"Vacant afterNov. 21, 1899"
List of presidents of the United States,"March 4, 1897–September 14, 1901",,William McKinley,,Republican,1900,Theodore Roosevelt
List of presidents of the United States,"September 14, 1901–March 4, 1909",,Theodore Roosevelt,,Republican,1900,"Vacant throughMar. 4, 1905"
List of presidents of the United States,"September 14, 1901–March 4, 1909",,Theodore Roosevelt,,Republican,1904,Charles W. Fairbanks
List of presidents of the United States,"March 4, 1909–March 4, 1913",,William Howard Taft,,Republican,1908,James S. Sherman
List of presidents of the United States,"March 4, 1909–March 4, 1913",,William Howard Taft,,Republican,1908,"Vacant afterOct. 30, 1912"
List of presidents of the United States,"March 4, 1913–March 4, 1921",,Woodrow Wilson,,Democratic,1912,Thomas R. Marshall
List of presidents of the United States,"March 4, 1913–March 4, 1921",,Woodrow Wilson,,Democratic,1916,Thomas R. Marshall
List of presidents of the United States,"March 4, 1921–August 2, 1923",,Warren G. Harding,,Republican,1920,Calvin Coolidge
List of presidents of the United States,"August 2, 1923–March 4, 1929",,Calvin Coolidge,,Republican,1920,"Vacant throughMar. 4, 1925"
List of presidents of the United States,"August 2, 1923–March 4, 1929",,Calvin Coolidge,,Republican,1924,Charles G. Dawes
List of presidents of the United States,"April 12, 1945–January 20, 1953",,Harry S. Truman,,Democratic,1944,"Vacant throughJan. 20, 1949"
List of presidents of the United States,"January 20, 1961–November 22, 1963",,John F. Kennedy,,Democratic,1960,Lyndon B. Johnson
List of presidents of the United States,"November 22, 1963–January 20, 1969",,Lyndon B. Johnson,,Democratic,1960,"Vacant throughJan. 20, 1965"
List of presidents of the United States,"November 22, 1963–January 20, 1969",,Lyndon B. Johnson,,Democratic,1964,Hubert Humphrey
List of presidents of the United States,"January 20, 1969–August 9, 1974",,Richard Nixon,,Republican,1972,"Vacant, Oct. 10 – Dec. 6, 1973"
List of presidents of the United States,"January 20, 1969–August 9, 1974",,Richard Nixon,,Republican,1972,Gerald Ford
List of presidents of the United States,"August 9, 1974–January 20, 1977",,Gerald Ford,,Republican,1972,"Vacant throughDec. 19, 1974"
List of presidents of the United States,"August 9, 1974–January 20, 1977",,Gerald Ford,,Republican,Nelson Rockefeller,1972
