0,1,2,3,4
Academy Award for Best Actor,1970(43rd),Ryan O'Neal,Love Story,Oliver Barrett IV
Academy Award for Best Actor,1971(44th),Gene Hackman,The French Connection,"Jimmy ""Popeye"" Doyle"
Academy Award for Best Actor,1971(44th),Walter Matthau,Kotch,Joseph P. Kotcher
Academy Award for Best Actor,1971(44th),George C. Scott,The Hospital,Doctor Herbert Bock
Academy Award for Best Actor,1971(44th),Chaim Topol,Fiddler on the Roof,Tevye
Academy Award for Best Actor,1972(45th),Michael Caine,Sleuth,Milo Tindle
Academy Award for Best Actor,1972(45th),Laurence Olivier,Sleuth,Andrew Wyke
Academy Award for Best Actor,1972(45th),Peter O'Toole,The Ruling Class,"Jack Gurney, 14th Earl of Gurney"
Academy Award for Best Actor,1972(45th),Paul Winfield,Sounder,Nathan Lee Morgan
Academy Award for Best Actor,1973(46th),Jack Nicholson,The Last Detail,Billy Buddusky
Academy Award for Best Actor,1973(46th),Robert Redford,The Sting,Johnny Hooker
Academy Award for Best Actor,1974(47th),Art Carney,Harry and Tonto,Harry Coombes
Academy Award for Best Actor,1974(47th),Dustin Hoffman,Lenny,Lenny Bruce
Academy Award for Best Actor,1974(47th),Jack Nicholson,Chinatown,Jake 'J.J.' Gittes
Academy Award for Best Actor,1974(47th),Al Pacino,The Godfather Part II,Michael Corleone
Academy Award for Best Actor,1975(48th),Jack Nicholson,One Flew Over the Cuckoo's Nest,Randle Patrick McMurphy
Academy Award for Best Actor,1975(48th),Walter Matthau,The Sunshine Boys,Willy Clark
Academy Award for Best Actor,1975(48th),Maximilian Schell,The Man in the Glass Booth,Arthur Goldman
Academy Award for Best Actor,1975(48th),James Whitmore,"Give 'em Hell, Harry!",Harry S. Truman
Academy Award for Best Actor,1976(49th),Peter Finch (posthumous win),Network,Howard Beale
Academy Award for Best Actor,1976(49th),Giancarlo Giannini,Seven Beauties,Pasqualino Frafuso
Academy Award for Best Actor,1976(49th),William Holden,Network,Max Schumacher
Academy Award for Best Actor,1977(50th),Richard Dreyfuss,The Goodbye Girl,Elliot Garfield
Academy Award for Best Actor,1977(50th),Woody Allen,Annie Hall,Alvy Singer
Academy Award for Best Actor,1977(50th),Richard Burton,Equus,Martin Dysart
Academy Award for Best Actor,1977(50th),Marcello Mastroianni,A Special Day,Gabriele
Academy Award for Best Actor,1977(50th),John Travolta,Saturday Night Fever,Tony Manero
Academy Award for Best Actor,1978(51st),Jon Voight,Coming Home, Luke Martin
Academy Award for Best Actor,1978(51st),Warren Beatty,Heaven Can Wait,Joe Pendleton
Academy Award for Best Actor,1978(51st),Robert De Niro,The Deer Hunter,Michael Vronsky
Academy Award for Best Actor,1978(51st),Laurence Olivier,The Boys from Brazil,Ezra Lieberman
Academy Award for Best Actor,1979(52nd),Dustin Hoffman,Kramer vs. Kramer,Ted Kramer
Academy Award for Best Actor,1979(52nd),Jack Lemmon,The China Syndrome,Jack Godell
Academy Award for Best Actor,1979(52nd),Al Pacino,...And Justice for All,Arthur Kirkland
Academy Award for Best Actor,1979(52nd),Roy Scheider,All That Jazz,Joe Gideon
Academy Award for Best Actor,1979(52nd),Peter Sellers,Being There,Chance
