0,1,2,3,4,5,6,7,8
List of European stadiums by capacity,1,Camp Nou,"99,354 (105,000 planned)",Barcelona, Spain,FC Barcelona.1982 FIFA World Cup venue.,1957,4
List of European stadiums by capacity,2,Wembley Stadium,"90,000",London, England,"The FA, England national football team.UEFA Euro 2020  Final venue. Tottenham Hotspur (temporarily) NFL (select away games annually)",1923 / 2007,4
List of European stadiums by capacity,3,Croke Park,"82,30069,100(seated)",Dublin, Ireland,Gaelic Athletic Association,1913,
List of European stadiums by capacity,4,Twickenham Stadium,"82,000",London, England,"The RFU, England national rugby union team",1909,
List of European stadiums by capacity,5,Signal Iduna Park,"81,359 (nd)65,829 (d)",Dortmund, Germany,Borussia Dortmund.2006 FIFA World Cup venue. Stadium uses retractable seating.,1974,4
List of European stadiums by capacity,6,Santiago Bernabéu Stadium,"81,044",Madrid, Spain,"Real Madrid C.F, Spain national football team.UEFA Euro 1964 Final venue, 1982 FIFA World Cup Final venue, 2018 Copa Libertadores Finals venue, and 1957, 1969, 1980 and 2010 UEFA Champions League final venue.",1947,4
List of European stadiums by capacity,7,Luzhniki Stadium,"81,000",Moscow, Russia,"Russia national football team*.1980 Summer Olympics venue, 2018 FIFA World Cup venue.",1956,4
List of European stadiums by capacity,8,Stade de France,"80,698  (field) 75,000 (athletics) ",Saint-Denis, France,"France national football team, France national rugby union team.1998 FIFA World Cup, 2007 Rugby World Cup, UEFA Euro 2016 Finals venues, 2024 Summer Olympics venue.",1998,4
List of European stadiums by capacity,10,Atatürk Olympic Stadium,"76,761",Istanbul, Turkey,Turkey national football team* 2005 UEFA Champions League Final venue.,2001,4
List of European stadiums by capacity,11,Athens Olympic Stadium,"75,000",Athens, Greece,"AEK Athens F.C.2004 Summer Olympics venue.
2007 UEFA Champions League Final venue.",1982,4
List of European stadiums by capacity,12,Allianz Arena,"75,000 (nd)70,000 (d)",Munich, Germany,FC Bayern Munich.2006 FIFA World Cup venue. Stadium uses retractable seating.,2005,4
List of European stadiums by capacity,13,Old Trafford,"74,994",Manchester, England,Manchester United F.C.1966 FIFA World Cup venue.,1910,4
List of European stadiums by capacity,14,Olympiastadion,"74,649",Berlin, Germany,"Hertha BSC.1936 Summer Olympics venue, 2006 FIFA World Cup venue.",1936,4
List of European stadiums by capacity,15,Millennium Stadium,"74,500",Cardiff, Wales,Welsh Rugby Union.1999 Rugby World Cup Final venue.2017 UEFA Champions League Final venue.,1999,4
List of European stadiums by capacity,16,Stadio Olimpico,"70,634",Rome, Italy,S.S. Lazio and A.S. Roma.1990 FIFA World Cup and 1960 Summer Olympics venues.,1930,4
List of European stadiums by capacity,17,NSC Olimpiyskiy,"70,050",Kiev, Ukraine,"Ukraine national football team*, FC Dynamo Kyiv.UEFA Euro 2012 Final venue.2018 UEFA Champions League Final venue.",2012,4
List of European stadiums by capacity,18,Olympiastadion,"69,250",Munich, Germany,Athletics. 1972 Summer Olympics venue.,1972,
List of European stadiums by capacity,19,Baku Olympic Stadium,"68,700",Baku, Azerbaijan,"Azerbaijan national football team, Qarabağ FK.2019 UEFA Europa League Final, UEFA Euro 2020 venue.",2015,4
List of European stadiums by capacity,20,Wanda Metropolitano,"67,703",Madrid, Spain,"Atlético Madrid
2019 UEFA Champions League Final venue.",2017,4
List of European stadiums by capacity,21,Stade Vélodrome,"67,394",Marseille, France,Olympique de Marseille.UEFA Euro 2016 venue.,1937,4
List of European stadiums by capacity,22,Murrayfield Stadium,"67,144",Edinburgh, Scotland,"Scotland national rugby union team, Edinburgh Rugby",1925,
List of European stadiums by capacity,23,Krestovsky Stadium,"67,000",Saint Petersburg, Russia,"Zenit Saint Petersburg.2017 FIFA Confederations Cup venue, 2018 FIFA World Cup venue, UEFA Euro 2020 venue.",2017,4
List of European stadiums by capacity,24,Estádio da Luz,"64,642",Lisbon, Portugal,"S.L. Benfica.UEFA Euro 2004 Final venue, 2014 UEFA Champions League Final venue.",2003,4
List of European stadiums by capacity,25,Veltins-Arena,"62,271 (nd)54,142 (d)",Gelsenkirchen, Germany,FC Schalke 04.2006 FIFA World Cup venue.Stadium uses both retractable and movable seating.,2001,4
List of European stadiums by capacity,26,Estadio Benito Villamarín,"60,720",Seville, Spain,Real Betis.1982 FIFA World Cup venue.,1929,
List of European stadiums by capacity,27,Mercedes-Benz Arena,"60,469 (nd)54,906 (d)",Stuttgart, Germany,"VfB Stuttgart.1974 & 2006 FIFA World Cup venues, UEFA Euro 1988 venue.",1933,
List of European stadiums by capacity,28,Celtic Park,"60,411",Glasgow, Scotland,Celtic FC,1892,
List of European stadiums by capacity,29,Stadio San Paolo,"60,240",Naples, Italy,S.S.C. Napoli.1990 FIFA World Cup venue.,1959,
List of European stadiums by capacity,30,London Stadium,"60,000 (d)54,000 (nd)",London, England,"2012 Summer Olympics and Paralympics as 80,000 seat athletics venue.West Ham United, as 60,000 seat football venue using movable seating.",2012,
List of European stadiums by capacity,31,Emirates Stadium,"59,867",London, England,Arsenal F.C.,2006,4
List of European stadiums by capacity,32,Parc Olympique Lyonnais,"59,186",Lyon, France,Olympique Lyonnais.UEFA Euro 2016 venue.2019 FIFA Women's World Cup venue.,2016,4
List of European stadiums by capacity,33,PGE Narodowy,"58,580",Warsaw, Poland,Poland national football team.UEFA Euro 2012 venue.,2011,4
List of European stadiums by capacity,34,Stadio San Nicola,"58,248",Bari, Italy,FC Bari 1908.1990 FIFA World Cup venue.,1990,
List of European stadiums by capacity,35,Estadio Olímpico de Sevilla,"57,619",Seville, Spain,"Athletics, Spain national football team*",1999,4
List of European stadiums by capacity,36,Volksparkstadion,"57,274",Hamburg, Germany,"Hamburger SV.1974 & 2006 FIFA World Cup venues, UEFA Euro 1988 venue.",1953,4
List of European stadiums by capacity,37,Estadi Olímpic Lluís Companys,"56,000",Barcelona, Spain,Athletics. 1992 Summer Olympics venue.,1927,4
List of European stadiums by capacity,38,Arena Naţională,"55,634",Bucharest, Romania,Romania national football team.2012 UEFA Europa League Final venue.,2011,4
List of European stadiums by capacity,39,Stadium Rajko Mitić,"55,538",Belgrade, Serbia,Red Star Belgrade.UEFA Euro 1976 Final venue.,1963,
List of European stadiums by capacity,40,Silesian Stadium,"55,211",Chorzów/Katowice, Poland,Poland national football team.,1956,4
List of European stadiums by capacity,41,Etihad Stadium,"55,097",Manchester, England,"Manchester City F.C. 2002 Commonwealth Games, 2015 Rugby World Cup venue.",2002,4
List of European stadiums by capacity,42,Estadi de Mestalla,"55,000",Valencia, Spain,Valencia CF.1982 FIFA World Cup venue.,1923,
List of European stadiums by capacity,43,Esprit Arena,"54,600",Düsseldorf, Germany,Fortuna Düsseldorf.Stadium uses retractable seating.,2004,
List of European stadiums by capacity,44,Vicente Calderón Stadium,"54,851",Madrid, Spain,Atlético Madrid.1982 FIFA World Cup venue.,1966,4
List of European stadiums by capacity,45,Boris Paichadze Dinamo Arena,"54,549",Tbilisi, Georgia,"FC Dinamo Tbilisi, Georgia national football team, Georgia national rugby union team",1976,
List of European stadiums by capacity,46,Friends Arena,"54,329",Stockholm, Sweden,"AIK, Sweden national football team, UEFA Women's Euro 2013",2012,4
List of European stadiums by capacity,47,Hrazdan Stadium,"54,208",Yerevan, Armenia,"FC Ararat Yerevan, Armenia national football team",1971,
List of European stadiums by capacity,48,Anfield,"54,074",Liverpool, England,Liverpool F.C.,1884,4
List of European stadiums by capacity,49,Borussia-Park,"54,067",Mönchengladbach, Germany,Borussia Mönchengladbach.Stadium uses retractable seating.,2004,
List of European stadiums by capacity,50,Johan Cruyff Arena,"54,990",Amsterdam, Netherlands,"AFC Ajax.UEFA Euro 2020 venue, 2013 UEFA Europa League Final venue.",1996,4
List of European stadiums by capacity,51,Semple Stadium,"53,500",Thurles, Ireland,Tipperary GAA,1910,
List of European stadiums by capacity,52,San Mamés,"53,332",Bilbao, Spain,Athletic Bilbao.UEFA Euro 2020 venue.,2013,4
List of European stadiums by capacity,53,Ernst Happel Stadion,"53,008",Vienna, Austria,"Austria national football team, Rapid Vienna*, Austria Vienna*.UEFA Euro 2008 Final venue.",1931,4
List of European stadiums by capacity,54,St James' Park,"52,387",Newcastle upon Tyne, England,Newcastle United F.C.,1886,4
List of European stadiums by capacity,55,Türk Telekom Stadium,"52,223",Istanbul, Turkey,Galatasaray S.K.,2011,4
List of European stadiums by capacity,56,Donbass Arena,"52,187",Donetsk, Ukraine,"FC Shakhtar Donetsk, UEFA Euro 2012 venue.Now closed due to War in Donbass",2009,4
List of European stadiums by capacity,57,Hampden Park,"52,103",Glasgow, Scotland,"Scotland national football team, Queen's Park F.C.",1903,4
List of European stadiums by capacity,58,Aviva Stadium,"51,700",Dublin, Ireland,"Ireland national rugby union team, Republic of Ireland national football team, Leinster Rugby",2010,4
List of European stadiums by capacity,59,De Kuip,"51,577",Rotterdam, Netherlands,Feyenoord.UEFA Euro 2000 Final venue.,1937,4
List of European stadiums by capacity,60,Commerzbank-Arena,"51,500",Frankfurt, Germany,Eintracht Frankfurt. 2006 FIFA World Cup venue.,1925,
List of European stadiums by capacity,61,İzmir Atatürk Stadium,"51,295",Izmir, Turkey,"Göztepe A.Ş., Altay S.K., Turkey national football team*",1971,
List of European stadiums by capacity,62,Ibrox Stadium,"50,817",Glasgow, Scotland,Rangers F.C.,1899,4
List of European stadiums by capacity,63,RheinEnergieStadion,"50,374",Cologne, Germany,1. FC Köln. 2006 FIFA World Cup venue.,2004,
List of European stadiums by capacity,64,Stade Pierre-Mauroy,"50,186",Lille, France,Lille OSC,2012,4
List of European stadiums by capacity,65,Estádio José Alvalade,"50,095",Lisbon, Portugal,Sporting Clube de Portugal.UEFA Euro 2004 venue. 2005 UEFA Cup Final venue.,2003,4
