0,1,2,3,4
Academy Award for Best Actor,2000(73rd),Russell Crowe,Gladiator,Maximus Decimus Meridius
Academy Award for Best Actor,2000(73rd),Javier Bardem,Before Night Falls,Reinaldo Arenas
Academy Award for Best Actor,2000(73rd),Tom Hanks,Cast Away,Chuck Noland
Academy Award for Best Actor,2000(73rd),Ed Harris,Pollock,Jackson Pollock
Academy Award for Best Actor,2000(73rd),Geoffrey Rush,Quills,The Marquis de Sade
Academy Award for Best Actor,2001(74th),Russell Crowe,A Beautiful Mind,John Nash
Academy Award for Best Actor,2001(74th),Sean Penn,I Am Sam,Sam Dawson
Academy Award for Best Actor,2001(74th),Will Smith,Ali,Muhammad Ali
Academy Award for Best Actor,2001(74th),Tom Wilkinson,In the Bedroom,Dr. Matt Fowler
Academy Award for Best Actor,2002(75th),Adrien Brody,The Pianist,Władysław Szpilman
Academy Award for Best Actor,2002(75th),Nicolas Cage,Adaptation.,Charlie KaufmanDonald Kaufman
Academy Award for Best Actor,2002(75th),Michael Caine,The Quiet American,Thomas Fowler
Academy Award for Best Actor,2002(75th),Daniel Day-Lewis,Gangs of New York,"William ""Bill the Butcher"" Cutting"
Academy Award for Best Actor,2002(75th),Jack Nicholson,About Schmidt,Warren R. Schmidt
Academy Award for Best Actor,2003(76th),Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,Captain Jack Sparrow
Academy Award for Best Actor,2003(76th),Ben Kingsley,House of Sand and Fog,Massoud Amir Behrani
Academy Award for Best Actor,2003(76th),Jude Law,Cold Mountain,Inman
Academy Award for Best Actor,2003(76th),Bill Murray,Lost in Translation,Bob Harris
Academy Award for Best Actor,2004(77th),Jamie Foxx,Ray,Ray Charles
Academy Award for Best Actor,2004(77th),Don Cheadle,Hotel Rwanda,Paul Rusesabagina
Academy Award for Best Actor,2004(77th),Johnny Depp,Finding Neverland,Sir J.M. Barrie
Academy Award for Best Actor,2004(77th),Leonardo DiCaprio,The Aviator,Howard Hughes
Academy Award for Best Actor,2004(77th),Clint Eastwood,Million Dollar Baby,Frankie Dunn
Academy Award for Best Actor,2005(78th),Philip Seymour Hoffman,Capote,Truman Capote
Academy Award for Best Actor,2005(78th),Terrence Howard,Hustle & Flow,Djay
Academy Award for Best Actor,2005(78th),Heath Ledger,Brokeback Mountain,Ennis Del Mar
Academy Award for Best Actor,2005(78th),Joaquin Phoenix,Walk the Line,Johnny Cash
Academy Award for Best Actor,2005(78th),David Strathairn,"Good Night, and Good Luck",Edward R. Murrow
Academy Award for Best Actor,2006(79th),Forest Whitaker,The Last King of Scotland,Idi Amin
Academy Award for Best Actor,2006(79th),Leonardo DiCaprio,Blood Diamond,Danny Archer
Academy Award for Best Actor,2006(79th),Ryan Gosling,Half Nelson,Dan Dunne
Academy Award for Best Actor,2006(79th),Peter O'Toole,Venus,Maurice
Academy Award for Best Actor,2006(79th),Will Smith,The Pursuit of Happyness,Chris Gardner
Academy Award for Best Actor,2007(80th),George Clooney,Michael Clayton,Michael Clayton
Academy Award for Best Actor,2007(80th),Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd
Academy Award for Best Actor,2007(80th),Tommy Lee Jones,In the Valley of Elah,Hank Deerfield
Academy Award for Best Actor,2007(80th),Viggo Mortensen,Eastern Promises,Nikolai Luzhin
Academy Award for Best Actor,2008(81st),Richard Jenkins,The Visitor,Walter Vale
Academy Award for Best Actor,2008(81st),Frank Langella,Frost/Nixon,Richard Nixon
Academy Award for Best Actor,2008(81st),Brad Pitt,The Curious Case of Benjamin Button,Benjamin Button
Academy Award for Best Actor,2008(81st),Mickey Rourke,The Wrestler,"Randy ""The Ram"" Robinson"
Academy Award for Best Actor,2009(82nd),Jeff Bridges,Crazy Heart,Ottis 'Bad' Blake
Academy Award for Best Actor,2009(82nd),George Clooney,Up in the Air,Ryan Bingham
Academy Award for Best Actor,2009(82nd),Colin Firth,A Single Man,George Falconer
Academy Award for Best Actor,2009(82nd),Morgan Freeman,Invictus,Nelson Mandela
Academy Award for Best Actor,2009(82nd),Jeremy Renner,The Hurt Locker,SFC William James
