0,1,2,3,4,5
Eurovision Song Contest,1956,  Switzerland,Refrain,Lys Assia,ESC 1956
Eurovision Song Contest,1957, Netherlands,Net als toen,Corry Brokken,ESC 1957
Eurovision Song Contest,1958, France,"Dors, mon amour",André Claveau,ESC 1958
Eurovision Song Contest,1959, Netherlands,Een beetje,Teddy Scholten,ESC 1959
Eurovision Song Contest,1960, France,Tom Pillibi,Jacqueline Boyer,ESC 1960
Eurovision Song Contest,1961, Luxembourg,Nous les amoureux,Jean-Claude Pascal,ESC 1961
Eurovision Song Contest,1962, France,Un premier amour,Isabelle Aubret,ESC 1962
Eurovision Song Contest,1963, Denmark,Dansevise,Grethe & Jørgen Ingmann,ESC 1963
Eurovision Song Contest,1964, Italy,Non ho l'età (per amarti),Gigliola Cinquetti,ESC 1964
Eurovision Song Contest,1965, Luxembourg,"Poupée de cire, poupée de son",France Gall,ESC 1965
Eurovision Song Contest,1966, Austria,"Merci, Chérie",Udo Jürgens,ESC 1966
Eurovision Song Contest,1967, United Kingdom,Puppet on a String,Sandie Shaw,ESC 1967
Eurovision Song Contest,1968, Spain,"La, la, la",Massiel,ESC 1968
Eurovision Song Contest,1969, Spain,Vivo cantando,Salomé,ESC 1969
Eurovision Song Contest,1969, United Kingdom,Boom Bang-a-Bang,Lulu,ESC 1969
Eurovision Song Contest,1969, Netherlands,De troubadour,Lennie Kuhr,ESC 1969
Eurovision Song Contest,1969, France,"Un jour, un enfant",Frida Boccara,ESC 1969
Eurovision Song Contest,1970, Ireland,All Kinds of Everything,Dana,ESC 1970
Eurovision Song Contest,1971, Monaco,"Un banc, un arbre, une rue",Séverine,ESC 1971
Eurovision Song Contest,1972, Luxembourg,Après toi,Vicky Leandros,ESC 1972
Eurovision Song Contest,1973, Luxembourg,Tu te reconnaîtras,Anne-Marie David,ESC 1973
Eurovision Song Contest,1974, Sweden,Waterloo,ABBA,ESC 1974
Eurovision Song Contest,1975, Netherlands,Ding-a-Dong,Teach-In,ESC 1975
Eurovision Song Contest,1976, United Kingdom,Save Your Kisses for Me,Brotherhood of Man,ESC 1976
Eurovision Song Contest,1977, France,L'oiseau et l'enfant,Marie Myriam,ESC 1977
Eurovision Song Contest,1978, Israel,A-ba-ni-bi (א-ב-ני-בי),Izhar Cohen & Alphabeta,ESC 1978
Eurovision Song Contest,1979, Israel,Hallelujah (הללויה),Gali Atari & Milk and Honey,ESC 1979
Eurovision Song Contest,1980, Ireland,What's Another Year?,Johnny Logan,ESC 1980
Eurovision Song Contest,1981, United Kingdom,Making Your Mind Up,Bucks Fizz,ESC 1981
Eurovision Song Contest,1982, Germany,Ein bißchen Frieden,Nicole,ESC 1982
Eurovision Song Contest,1983, Luxembourg,Si la vie est cadeau,Corinne Hermès,ESC 1983
Eurovision Song Contest,1984, Sweden,Diggi-loo diggi-ley,Herreys,ESC 1984
Eurovision Song Contest,1985, Norway,La det swinge,Bobbysocks!,ESC 1985
Eurovision Song Contest,1986, Belgium,J'aime la vie,Sandra Kim,ESC 1986
Eurovision Song Contest,1987, Ireland,Hold Me Now,Johnny Logan,ESC 1987
Eurovision Song Contest,1988,  Switzerland,Ne partez pas sans moi,Céline Dion,ESC 1988
Eurovision Song Contest,1989, Yugoslavia,Rock Me,Riva,ESC 1989
Eurovision Song Contest,1990, Italy,Insieme: 1992,Toto Cutugno,ESC 1990
Eurovision Song Contest,1991, Sweden,Fångad av en stormvind,Carola,ESC 1991
Eurovision Song Contest,1992, Ireland,Why Me?,Linda Martin,ESC 1992
Eurovision Song Contest,1993, Ireland,In Your Eyes,Niamh Kavanagh,ESC 1993
Eurovision Song Contest,1994, Ireland,Rock 'n' Roll Kids,Paul Harrington & Charlie McGettigan,ESC 1994
Eurovision Song Contest,1995, Norway,Nocturne,Secret Garden,ESC 1995
Eurovision Song Contest,1996, Ireland,The Voice,Eimear Quinn,ESC 1996
Eurovision Song Contest,1997, United Kingdom,Love Shine a Light,Katrina and the Waves,ESC 1997
Eurovision Song Contest,1998, Israel,Diva (דיווה‎),Dana International,ESC 1998
Eurovision Song Contest,1999, Sweden,Take Me to Your Heaven,Charlotte Nilsson,ESC 1999
Eurovision Song Contest,2000, Denmark,Fly on the Wings of Love,Olsen Brothers,ESC 2000
Eurovision Song Contest,2001, Estonia,Everybody,"Tanel Padar, Dave Benton & 2XL",ESC 2001
Eurovision Song Contest,2002, Latvia,I Wanna,Marie N,ESC 2002
Eurovision Song Contest,2003, Turkey,Everyway That I Can,Sertab Erener,ESC 2003
Eurovision Song Contest,2004, Ukraine,Wild Dances,Ruslana,ESC 2004
Eurovision Song Contest,2005, Greece,My Number One,Helena Paparizou,ESC 2005
Eurovision Song Contest,2006, Finland,Hard Rock Hallelujah,Lordi,ESC 2006
Eurovision Song Contest,2007, Serbia,Molitva (Молитва),Marija Šerifović,ESC 2007
Eurovision Song Contest,2008, Russia,Believe,Dima Bilan,ESC 2008
Eurovision Song Contest,2009, Norway,Fairytale,Alexander Rybak,ESC 2009
Eurovision Song Contest,2011, Azerbaijan,Running Scared,Ell & Nikki,ESC 2011
Eurovision Song Contest,2012, Sweden,Euphoria,Loreen,ESC 2012
Eurovision Song Contest,2013, Denmark,Only Teardrops,Emmelie de Forest,ESC 2013
Eurovision Song Contest,2015, Sweden,Heroes,Måns Zelmerlöw,ESC 2015
Eurovision Song Contest,2020,—,—,—,ESC 2020
Eurovision Song Contest,2021, Italy,Zitti e Buoni,Måneskin,ESC 2021
