0,1,2,3
Academy Award for Best Picture,2000(73rd),Gladiator,"Douglas Wick, David Franzoni, and Branko Lustig"
Academy Award for Best Picture,2000(73rd),Chocolat,"David Brown, Kit Golden, and Leslie Holleran"
Academy Award for Best Picture,2000(73rd),"Crouching Tiger, Hidden Dragon","William Kong, Hsu Li-kong, and Ang Lee"
Academy Award for Best Picture,2000(73rd),Erin Brockovich,"Danny DeVito, Michael Shamberg, and Stacey Sher"
Academy Award for Best Picture,2000(73rd),Traffic,"Edward Zwick, Marshall Herskovitz, and Laura Bickford"
Academy Award for Best Picture,2001(74th),Gosford Park,"Robert Altman, Bob Balaban, and David Levy"
Academy Award for Best Picture,2001(74th),In the Bedroom,"Graham Leader, Ross Katz, and Todd Field"
Academy Award for Best Picture,2001(74th),The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson, Fran Walsh, and Barrie M. Osborne"
Academy Award for Best Picture,2002(75th),Chicago,Martin Richards
Academy Award for Best Picture,2002(75th),The Hours,Scott Rudin and Robert Fox
Academy Award for Best Picture,2002(75th),The Lord of the Rings: The Two Towers,"Barrie M. Osborne, Fran Walsh, and Peter Jackson"
Academy Award for Best Picture,2002(75th),The Pianist,"Roman Polanski, Robert Benmussa, and Alain Sarde"
Academy Award for Best Picture,2003(76th),The Lord of the Rings: The Return of the King,"Barrie M. Osborne, Peter Jackson, and Fran Walsh"
Academy Award for Best Picture,2003(76th),Master and Commander: The Far Side of the World,"Samuel Goldwyn Jr., Peter Weir, and Duncan Henderson"
Academy Award for Best Picture,2003(76th),Seabiscuit,"Kathleen Kennedy, Frank Marshall, and Gary Ross"
Academy Award for Best Picture,2004(77th),Million Dollar Baby,"Clint Eastwood, Albert S. Ruddy, and Tom Rosenberg"
Academy Award for Best Picture,2004(77th),The Aviator,Michael Mann and Graham King
Academy Award for Best Picture,2004(77th),Finding Neverland,Richard N. Gladstein and Nellie Bellflower
Academy Award for Best Picture,2004(77th),Ray,"Taylor Hackford, Stuart Benjamin, and Howard Baldwin"
Academy Award for Best Picture,2004(77th),Sideways,Michael London
Academy Award for Best Picture,2005(78th),Crash,Paul Haggis and Cathy Schulman
Academy Award for Best Picture,2005(78th),Brokeback Mountain,Diana Ossana and James Schamus
Academy Award for Best Picture,2005(78th),Capote,"Caroline Baron, William Vince, and Michael Ohoven"
Academy Award for Best Picture,2005(78th),"Good Night, and Good Luck",Grant Heslov
Academy Award for Best Picture,2005(78th),Munich,"Steven Spielberg, Kathleen Kennedy, and Barry Mendel"
Academy Award for Best Picture,2006(79th),The Departed,Graham King
Academy Award for Best Picture,2006(79th),Babel,"Alejandro González Iñárritu, Steve Golin, and Jon Kilik"
Academy Award for Best Picture,2006(79th),Letters from Iwo Jima,"Clint Eastwood, Steven Spielberg, and Robert Lorenz"
Academy Award for Best Picture,2006(79th),Little Miss Sunshine,"David T. Friendly, Peter Saraf, and Marc Turtletaub"
Academy Award for Best Picture,2006(79th),The Queen,"Andy Harries, Christine Langan, and Tracey Seaward"
Academy Award for Best Picture,2007(80th),No Country for Old Men,"Scott Rudin, Joel Coen, and Ethan Coen"
Academy Award for Best Picture,2007(80th),Atonement,"Tim Bevan, Eric Fellner, and Paul Webster"
Academy Award for Best Picture,2007(80th),Juno,"Lianne Halfon, Mason Novick, and Russell Smith"
Academy Award for Best Picture,2007(80th),Michael Clayton,"Jennifer Fox, Kerry Orent, and Sydney Pollack"
Academy Award for Best Picture,2007(80th),There Will Be Blood,"Paul Thomas Anderson, Daniel Lupi, and JoAnne Sellar"
Academy Award for Best Picture,2008(81st),Slumdog Millionaire,Christian Colson
Academy Award for Best Picture,2008(81st),The Curious Case of Benjamin Button,"Kathleen Kennedy, Frank Marshall, and Ceán Chaffin"
Academy Award for Best Picture,2008(81st),Frost/Nixon,"Ron Howard, Brian Grazer, and Eric Fellner"
Academy Award for Best Picture,2008(81st),Milk,Bruce Cohen and Dan Jinks
Academy Award for Best Picture,2008(81st),The Reader,"Anthony Minghella, Sydney Pollack, Donna Gigliotti, and Redmond Morris"
Academy Award for Best Picture,2009(82nd),The Hurt Locker,"Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro"
Academy Award for Best Picture,2009(82nd),Avatar,James Cameron and Jon Landau
Academy Award for Best Picture,2009(82nd),The Blind Side,"Gil Netter, Andrew A. Kosove, and Broderick Johnson"
Academy Award for Best Picture,2009(82nd),District 9,Peter Jackson and Carolynne Cunningham
Academy Award for Best Picture,2009(82nd),An Education,Finola Dwyer and Amanda Posey
Academy Award for Best Picture,2009(82nd),Inglourious Basterds,Lawrence Bender
Academy Award for Best Picture,2009(82nd),Precious: Based on the Novel 'Push' by Sapphire,"Lee Daniels, Sarah Siegel-Magness, and Gary Magness"
Academy Award for Best Picture,2009(82nd),A Serious Man,Joel Coen and Ethan Coen
Academy Award for Best Picture,2009(82nd),Up,Jonas Rivera
Academy Award for Best Picture,2009(82nd),Up in the Air,"Daniel Dubiecki, Ivan Reitman, and Jason Reitman"
