Property,Label
6,head of government
17,country
19,place of birth
31,instance of
35,head of state
37,official language
38,currency
39,position held
40,child
54,member of sports team
81,connecting line
102,member of political party
115,home venue
159,headquarters location
161,cast member
166,award received
175,performer
178,developer
180,depicts
197,adjacent station
276,location
355,subsidiary
361,part of
488,chairperson
521,scheduled service destination
527,has part
710,participant
725,voice actor
726,candidate
991,successful candidate
1000,record held
1002,engine configuration
1308,officeholder
1344,participant of
1346,winner
1411,nominated for
1427,start point
1441,present in work
1923,participating team
2522,victory
2789,connects with
3279,statistical leader
3450,sports season of league or competition
3602,candidacy in election
